"identifier"	"chemical_formula"	"description"	"chemical_shift"	"multiplicity"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"ADG10003u_007"	"ADG10003u_008"	"ADG10003u_009"	"ADG10003u_010"	"ADG10003u_015"	"ADG10003u_016"	"ADG10003u_017"	"ADG10003u_021"	"ADG10003u_022"	"ADG10003u_023"	"ADG10003u_051"	"ADG10003u_052"	"ADG10003u_053"	"ADG10003u_066"	"ADG10003u_067"	"ADG10003u_071"	"ADG10003u_072"	"ADG10003u_073"	"ADG10003u_087"	"ADG10003u_088"	"ADG10003u_089"	"ADG10003u_097"	"ADG10003u_098"	"ADG10003u_112"	"ADG10003u_113"	"ADG10003u_114"	"ADG10003u_115"	"ADG10003u_116"	"ADG10003u_117"	"ADG10003u_118"	"ADG10003u_120"	"ADG10003u_151"	"ADG10003u_152"	"ADG10003u_153"	"ADG10003u_155"	"ADG10003u_156"	"ADG10003u_160"	"ADG10003u_161"	"ADG10003u_162"	"ADG10003u_166"	"ADG10003u_167"	"ADG10003u_168"	"ADG10003u_177"	"ADG10003u_178"	"ADG10003u_179"	"ADG10003u_185"	"ADG10003u_186"	"ADG10003u_187"	"ADG19007u_011"	"ADG19007u_012"	"ADG19007u_013"	"ADG19007u_014"	"ADG19007u_015"	"ADG19007u_016"	"ADG19007u_017"	"ADG19007u_071"	"ADG19007u_072"	"ADG19007u_073"	"ADG19007u_074"	"ADG19007u_075"	"ADG19007u_076"	"ADG19007u_077"	"ADG19007u_091"	"ADG19007u_092"	"ADG19007u_093"	"ADG19007u_094"	"ADG19007u_095"	"ADG19007u_096"	"ADG19007u_097"	"ADG19007u_161"	"ADG19007u_162"	"ADG19007u_163"	"ADG19007u_164"	"ADG19007u_165"	"ADG19007u_166"	"ADG19007u_167"	"ADG19007u_191"	"ADG19007u_192"	"ADG19007u_193"	"ADG19007u_194"	"ADG19007u_195"	"ADG19007u_196"	"ADG19007u_197"	"ADG19007u_241"	"ADG19007u_242"	"ADG19007u_243"	"ADG19007u_244"	"ADG19007u_245"	"ADG19007u_246"	"ADG19007u_247"	"ADG19007u_281"	"ADG19007u_282"	"ADG19007u_283"	"ADG19007u_284"	"ADG19007u_285"	"ADG19007u_286"	"ADG19007u_287"	"ADG19007u_301"	"ADG19007u_302"	"ADG19007u_303"	"ADG19007u_304"	"ADG19007u_305"	"ADG19007u_306"	"ADG19007u_307"	"ADG19007u_351"	"ADG19007u_352"	"ADG19007u_353"	"ADG19007u_354"	"ADG19007u_355"	"ADG19007u_356"	"ADG19007u_357"	"ADG19007u_401"	"ADG19007u_402"	"ADG19007u_403"	"ADG19007u_404"	"ADG19007u_405"	"ADG19007u_406"	"ADG19007u_407"	"ADG19007u_431"	"ADG19007u_432"	"ADG19007u_433"	"ADG19007u_434"	"ADG19007u_435"	"ADG19007u_436"	"ADG19007u_437"	"ADG19007u_471"	"ADG19007u_472"	"ADG19007u_473"	"ADG19007u_474"	"ADG19007u_475"	"ADG19007u_476"	"ADG19007u_477"
""	""	""	"[0.10 .. 0.14]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.010803"	"0.0031735"	"0"	"0.0081798"	"0.018376"	"0.014549"	"6.8091E-4"	"0.067013"	"0.010732"	"0.048287"	"0"	"0.0018119"	"0.0040216"	"0.00912"	"0.014034"	"0.0077919"	"0"	"0"	"0"	"0"	"0.0031316"	"0.002839"	"0"	"0.002262"	"0.012221"	"0.007319"	"0.0039384"	"0.0023118"	"0.011248"	"0.0067781"	"0.0028344"	"0.0064753"	"0.060908"	"0.0083009"	"3.202E-4"	"0"	"0"	"0.0010186"	"3.1696E-4"	"0.0049939"	"0.0026752"	"7.5078E-4"	"0.003135"	"0.0019377"	"0.0040257"	"0.0043322"	"0"	"0.014109"	"0.0054875"	"0.0039259"	"0.015826"	"0"	"0"	"0.010853"	"0"	"0.021885"	"0.016485"	"1.0457E-4"	"0.028271"	"0.0076779"	"0.039238"	"0"	"0.01145"	"0.017588"	"0.012286"	"0.01201"	"0.032938"	"0.0088242"	"0.026286"	"0.0028621"	"0.019634"	"0"	"0.0031749"	"0"	"0.0091825"	"0.004982"	"0.012277"	"0.0024292"	"0.0041902"	"0.014603"	"0.012846"	"0.0079057"	"0"	"0.0028648"	"0.015352"	"0.012554"	"0.0094969"	"0.01438"	"0.0050868"	"0.0082219"	"0"	"4.0175E-4"	"0"	"0.0072583"	"0.014501"	"0.0058382"	"0"	"0.004256"	"0.0033033"	"0.004424"	"0"	"0.012457"	"0.0015918"	"0"	"5.9684E-4"	"0.017295"	"0.0029353"	"0"	"0.015576"	"0.016528"	"0"	"0.0035773"	"0.017461"	"0.014685"	"0.0012696"	"0.010812"	"0"	"0"	"0"	"0.014133"	"0.0082108"	"0.002507"	"0.014429"	"0.0020951"	"0"	"0.0032244"	"0.0089511"	"0.010001"	"0.0045346"	"0.0089896"	"3.5935E-4"	"0.0053133"
""	""	""	"[0.14 .. 0.16]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.0014349"	"0"	"0"	"0"	"8.3177E-4"	"0.0023304"	"0"	"0.020338"	"5.56E-5"	"0.0017777"	"0"	"0"	"0.0017925"	"0"	"0.0025998"	"0.0025703"	"0"	"0"	"0"	"0"	"0"	"0.0043982"	"0.0055303"	"0"	"9.9315E-4"	"5.7587E-4"	"0"	"0"	"0.0020316"	"0.0023923"	"0"	"0"	"0.014119"	"0"	"0"	"0.0032968"	"0"	"0"	"0"	"2.912E-4"	"5.125E-4"	"0"	"0"	"0"	"0.0017884"	"0"	"0"	"0.0039057"	"0"	"0"	"0.0036386"	"0"	"0"	"0.0044965"	"0"	"0.0074903"	"0"	"0"	"0"	"0"	"0.0015669"	"0"	"0.0014591"	"0"	"0.0015322"	"3.28E-5"	"0"	"0"	"0.0086051"	"0"	"0"	"0"	"4.9654E-4"	"0"	"0.0040053"	"9.116E-4"	"0.0053358"	"0"	"0"	"0.0042531"	"0"	"2.4656E-4"	"0"	"5.239E-4"	"0.0049069"	"0.0041017"	"0.0035999"	"0.0038845"	"0.0016044"	"0.0033686"	"0"	"0"	"0.0013174"	"0"	"0.0041775"	"0.0016458"	"0"	"0"	"0.004181"	"4.4564E-4"	"0"	"0.0054594"	"0.0015498"	"6.0928E-4"	"0"	"0.0040227"	"0"	"0"	"0.0039406"	"0.0070567"	"0"	"0"	"0.0029061"	"0.0082546"	"0"	"0"	"0"	"0"	"0"	"0.0037902"	"0"	"6.4216E-4"	"0"	"0"	"0"	"0"	"0.0018507"	"0.0024648"	"0"	"9.97E-5"	"0"	"0.0011526"
""	""	""	"[0.16 .. 0.21]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.0091003"	"0.0044487"	"0"	"0.0012897"	"0.023602"	"0.017026"	"0"	"0.070715"	"0.0017891"	"0.033993"	"0.0021554"	"0.00487"	"0.0083633"	"0.0075054"	"0.012914"	"0.0060808"	"0"	"4.7861E-4"	"0"	"0"	"0.005905"	"0.0032392"	"0"	"0.0020011"	"0.0068096"	"0.0080118"	"0.0052895"	"0.0038208"	"0.015944"	"0.0076794"	"0.0053285"	"0.0043499"	"0.065825"	"0.001742"	"0"	"0.0028127"	"0.0020472"	"0.0029205"	"0"	"0.0047261"	"0.0039196"	"0.0017685"	"0.0035416"	"0.0022825"	"0.010216"	"0.0038061"	"0"	"0.01556"	"0.005034"	"0.0055593"	"0.014716"	"0"	"0"	"0.012112"	"0.0023209"	"0.024672"	"0"	"0"	"0.0098231"	"0"	"0.034654"	"0"	"0"	"0"	"0"	"0.006053"	"0.025733"	"0.0094938"	"0.030621"	"0"	"0"	"2.8882E-4"	"0.0018689"	"0"	"0.0074936"	"0.0055107"	"0.013351"	"0.0059229"	"0"	"0.011481"	"0.010115"	"0.0018026"	"0"	"0.0045662"	"0.015798"	"0.0090224"	"0.013167"	"0.010643"	"0.010635"	"0.015458"	"0"	"0.0014812"	"0"	"0.0043994"	"0.0094226"	"0.0052039"	"0.0056931"	"6.3315E-4"	"0.0056897"	"0.0082721"	"0"	"0.015506"	"0.0023245"	"0"	"0"	"0.0063517"	"0"	"6.6315E-4"	"0.010724"	"0.02307"	"0.0013214"	"0.0023287"	"0.018593"	"0.015358"	"0.0014936"	"0"	"0"	"0"	"0.0021867"	"0.015093"	"0.0048979"	"0.0038941"	"0.0016138"	"4.2391E-4"	"0"	"0.0037892"	"0.016177"	"0.011454"	"0.0077281"	"0.011394"	"0.0033149"	"0.0080549"
""	""	""	"[0.21 .. 0.24]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0.0059512"	"0.0061882"	"0"	"0.025724"	"0"	"0"	"0"	"0"	"0.0010226"	"0"	"0.005298"	"0.0020063"	"0"	"0"	"0"	"0"	"0"	"0.0010558"	"0"	"0"	"8.3197E-4"	"0.0011906"	"0"	"0"	"9.4861E-4"	"0.0064897"	"0"	"0"	"0.0079285"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"3.6761E-4"	"0"	"0"	"0"	"0.0020172"	"0"	"0"	"0.0041367"	"0"	"0"	"0.0040117"	"0"	"0"	"7.9579E-4"	"0"	"0.0069151"	"0"	"0"	"0"	"0"	"0.016147"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0017619"	"0"	"0"	"0"	"0"	"2.2817E-4"	"0"	"0.0016601"	"0"	"0.0086163"	"0"	"0"	"0"	"0.0054466"	"0"	"0"	"0"	"0.0021702"	"7.2E-5"	"0.0039658"	"0"	"9.86E-5"	"0.0044995"	"0"	"0"	"0"	"0"	"0"	"2.0316E-4"	"0"	"0"	"1.06E-5"	"1.1388E-4"	"0"	"0.0055715"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0095077"	"0"	"0"	"0"	"0.0063222"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0022093"	"4.3009E-4"	"0"	"0"	"0.0016806"
""	""	""	"[0.24 .. 0.29]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0.0068872"	"0.0090057"	"0"	"0.025023"	"0"	"0"	"0"	"0"	"0.0021015"	"0"	"0"	"0.0043216"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0010576"	"0.0053134"	"0"	"0"	"0.0050609"	"0.0033435"	"0"	"0"	"0.039828"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0023929"	"0"	"0"	"0.011922"	"0"	"0"	"0.0023647"	"0"	"0"	"0.0032615"	"0"	"0.0014795"	"0"	"0"	"0"	"0"	"0.0025707"	"0"	"0"	"0"	"0"	"0"	"0.0028378"	"0.0035175"	"0.0027004"	"0"	"0"	"0"	"0"	"0"	"0.005538"	"0"	"0.012283"	"0"	"0"	"0.0020068"	"0.0041827"	"0"	"0"	"0"	"0.0017542"	"0"	"0.003739"	"0"	"0.0023487"	"0.0028146"	"0"	"0"	"0"	"0"	"0.0042142"	"0.0032905"	"0"	"0"	"5.2424E-4"	"0.0028766"	"0"	"0.0064947"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.013063"	"0"	"0"	"0"	"0.010427"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"7.4661E-4"	"0"	"0"	"0.0048982"
""	""	""	"[0.29 .. 0.32]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"0.0055841"	"0.0032542"	"0"	"0.022395"	"0"	"0"	"0"	"0"	"0.0021009"	"3.8708E-4"	"0.0051094"	"8.3943E-4"	"0"	"2.0252E-4"	"0"	"0"	"7.36E-6"	"0"	"0"	"0"	"0.0016389"	"0.0026547"	"0"	"0"	"0.0052646"	"0.0064326"	"7.391E-4"	"0"	"0.0044478"	"0"	"0"	"9.2049E-4"	"0"	"0.0016317"	"0"	"0"	"0"	"0"	"0"	"0"	"7.9198E-4"	"0"	"0"	"0.0097787"	"0"	"0"	"0.0043401"	"0"	"0"	"5.9481E-4"	"0"	"0.0032241"	"0"	"0"	"0"	"0"	"0.0016767"	"0"	"0"	"0"	"0"	"0"	"2.4485E-4"	"0"	"0.0060815"	"0"	"0"	"0"	"0"	"0"	"3.6641E-4"	"0"	"0.0060146"	"0"	"0"	"0.0041821"	"0"	"0"	"0"	"0.001292"	"0.0085767"	"0"	"0.0031984"	"0"	"0.0038055"	"0.0036244"	"0"	"0"	"0"	"0"	"0.0011087"	"0.0018781"	"0"	"0"	"0.0015731"	"9.6656E-4"	"0"	"0.0036978"	"1.7667E-4"	"0"	"0"	"0.0016792"	"0"	"0"	"0"	"0.0091548"	"0"	"0"	"0.001363"	"0.006846"	"0"	"0"	"0"	"0"	"0"	"0"	"4.901E-4"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0012699"	"0.0011594"	"0"	"0"	"0.0025289"
""	""	""	"[0.32 .. 0.35]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0"	"0.0011089"	"0"	"0"	"0.0027941"	"0.0044506"	"0"	"0.0089987"	"0"	"0"	"0"	"0"	"0.0030225"	"0"	"0.003121"	"0.0025142"	"0"	"0.0013223"	"0"	"0"	"0.0010913"	"0"	"0"	"2.2466E-4"	"9.0975E-4"	"0.001714"	"0"	"6.3E-5"	"0.0043787"	"0.0051237"	"4.4491E-4"	"0"	"0.0079571"	"0"	"0"	"0"	"1.1876E-4"	"0.001545"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0016946"	"0"	"0"	"0"	"0"	"8.8342E-4"	"0.0045979"	"0"	"0"	"0.0057933"	"0"	"0.0031854"	"0"	"0"	"0"	"0"	"0.010443"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"8.41E-5"	"0"	"0"	"0"	"0"	"0"	"0.0012059"	"0"	"0.0056343"	"0"	"0"	"0.0029456"	"0.0019004"	"0"	"0"	"0"	"0.0042029"	"0"	"0.0026105"	"0"	"0.0013852"	"0.0029074"	"0"	"8.3706E-4"	"4.6395E-4"	"0"	"0"	"0.0028927"	"0"	"0"	"0.0029981"	"0.0016933"	"0"	"0.001843"	"9.9602E-4"	"4.2258E-4"	"0"	"0"	"0"	"0"	"0"	"0.010651"	"0"	"0"	"0"	"0.0075027"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0037547"	"4.9412E-4"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0017334"	"0"	"0"	"0.0012789"
""	""	""	"[0.35 .. 0.39]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.008675"	"0.036623"	"0.031749"	"0.028936"	"0.027316"	"0.051316"	"0.030647"	"0.049039"	"0.0071367"	"0"	"0.013401"	"0.012053"	"0.011017"	"0.0069112"	"0.030613"	"0.013357"	"0.0045711"	"0.036848"	"0.024611"	"0.015552"	"0.020729"	"0.016773"	"0.036323"	"0.012762"	"0.022758"	"0.0097451"	"0.011274"	"0.01864"	"0.040435"	"0.025938"	"0.0096949"	"0.020658"	"0.025738"	"0"	"0.026354"	"0.0089163"	"0.045804"	"0.036679"	"0.034938"	"0.0010915"	"0.011365"	"0.0091769"	"0.012535"	"0.011048"	"0.01353"	"0.015207"	"0.0072738"	"0.023767"	"0.017792"	"0.01919"	"0.033028"	"0"	"0"	"0.021834"	"0.026057"	"0.019547"	"0"	"0.017556"	"5.2184E-4"	"0"	"0.014361"	"0.019861"	"0"	"0"	"0.0070063"	"0"	"0.017553"	"0.0068126"	"0.013319"	"0.0073154"	"0"	"0.020724"	"0.0086215"	"0"	"0.017954"	"6.8759E-4"	"0.025086"	"0.0027583"	"0.019561"	"0.013851"	"0.015057"	"0"	"0"	"0.0060434"	"0.029801"	"0.03692"	"0.013358"	"0.0025254"	"0.012335"	"0.021686"	"0.020095"	"0.014832"	"0.022967"	"0.002014"	"0.006471"	"0.014051"	"0.0060496"	"0.0078533"	"0.014264"	"0.020573"	"0"	"0.013052"	"0.016857"	"0.026329"	"0.011647"	"0.0095591"	"0.0040428"	"0.0068106"	"6.8154E-4"	"0.027582"	"0.0039354"	"0.0044745"	"0.0015487"	"0.025961"	"0.0054018"	"0"	"0"	"0"	"0.011641"	"0.0041028"	"0.012831"	"0.010524"	"0.0058534"	"0.0095183"	"0"	"0.0010238"	"9.5111E-4"	"0.014505"	"0.0071156"	"0"	"0.0058184"	"0.011231"
""	""	""	"[0.39 .. 0.45]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0.0029478"	"0.0046415"	"0"	"0"	"0.011982"	"0.014028"	"0"	"0.028861"	"0"	"0"	"0.0033877"	"5.9843E-4"	"0.0061694"	"0.0039815"	"0.009007"	"0.0060957"	"0"	"0.007302"	"0"	"0"	"0.0047941"	"0.0047112"	"0.0051567"	"0.0025734"	"0.0064342"	"0.0044073"	"0"	"0"	"0.014225"	"0.013642"	"0.0028997"	"0"	"0.0046888"	"0"	"0.0029196"	"0.0011704"	"0.005324"	"0.010672"	"0.0046948"	"0"	"0.0031125"	"0.0011733"	"0.0038993"	"0"	"0.0061045"	"0.00197"	"0"	"0.015706"	"0.00462"	"0.0031686"	"0.013726"	"0"	"0"	"0.010101"	"0.005515"	"0.0049325"	"0"	"0"	"0"	"0"	"0.0083881"	"0.0012978"	"0"	"0"	"0"	"0"	"0.018245"	"0.0015492"	"0.017216"	"0"	"0"	"0.0011861"	"0"	"0"	"0.0084776"	"0"	"0.017178"	"0"	"0"	"0.0081245"	"0.0045187"	"0"	"0"	"0"	"0.010663"	"0.0073371"	"0.0063574"	"0"	"0.0054952"	"0.0094543"	"6.2804E-4"	"0"	"0.0011656"	"0"	"0"	"0.0040019"	"0.0013645"	"0"	"0.0044774"	"0.0075096"	"0"	"0.007527"	"0.0022426"	"0.0045267"	"0"	"0.0060085"	"0"	"0"	"0"	"0.02397"	"0"	"0"	"0"	"0.012529"	"0.0012725"	"0"	"0"	"0"	"0"	"0"	"0.0019357"	"0.005044"	"0"	"0"	"0"	"0"	"0"	"0.0029311"	"0.0038408"	"0"	"2.7505E-4"	"0.0048003"
""	""	""	"[0.45 .. 0.48]"	""	"NEWT:9606"	"Homo sapiens (Human)"	""	""	""	""	""	""	""	""	""	"0"	"0"	"0"	"0"	"9.8E-5"	"0.0049932"	"0"	"0.018647"	"0"	"0"	"2.9836E-4"	"0"	"0.0026924"	"0.0011641"	"0.001037"	"0.0035029"	"0"	"0"	"0"	"0"	"0.0013055"	"0"	"0"	"0.0010745"	"0.0023526"	"0.0023815"	"0"	"0"	"0.0060318"	"0.0082786"	"6.84E-5"	"0"	"0.011492"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1.6926E-4"	"0"	"0"	"0"	"0.0022244"	"0"	"0"	"5.6987E-4"	"0"	"0.0013705"	"0.0049296"	"0"	"0"	"0.0024221"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0035443"	"0"	"0"	"0"	"0"	"3.3612E-4"	"0"	"0.0038023"	"0.0094805"	"0"	"0"	"0"	"0"	"0"	"4.6226E-4"	"0"	"0.0086565"	"0"	"0"	"0.0011957"	"0.0015954"	"0"	"0"	"0.0010849"	"0.0066851"	"0"	"0.0012616"	"0"	"0.0030467"	"0.0042835"	"0"	"0"	"0"	"0"	"0.0014489"	"0.0024383"	"0.0011511"	"0"	"4.457E-4"	"0"	"0"	"0.0071191"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.012808"	"0"	"0"	"0"	"0.0092671"	"1.763E-4"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0019459"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0019365"	"0"	"0"	"0.0053867"
